Trial,State,Q(left),Q(right),Q(forward)
35,3,0,-5,7.44
35,4,6.45,3.71,0
35,5,0,-5,19.33
35,6,0,0,-5
36,0,0,6.38,17.32
36,1,0.6,0,9.98
36,2,0,0,16.23
36,3,0,-5,7.44
36,4,6.45,3.71,0
36,5,0,-5,19.33
36,6,0,0,-5
37,0,0,6.38,17.23
37,1,0.6,0,9.98
37,2,0,0,16.23
37,3,0,-5,7.44
37,4,6.45,3.71,0
37,5,0,-5,19.33
37,6,0,0,-5
38,0,0,6.38,21.65
38,1,0.6,0,9.98
38,2,0,0,16.23
38,3,0,-5,7.44
38,4,6.45,3.71,0
38,5,0,-5,19.33
38,6,0,0,-5
39,0,0,6.38,21.65
39,1,0.6,0,9.98
39,2,-5,0,16.23
39,3,0,-5,7.44
39,4,6.45,3.71,0
39,5,0,-5,19.33
39,6,0,0,-5
40,0,0,6.38,21.65
40,1,0.6,0,9.98
40,2,-5,0,16.23
40,3,0,-5,7.44
40,4,6.45,3.71,0
40,5,0,-5,19.33
40,6,0,-1.32,-5
41,0,0,6.38,21.65
41,1,0.6,0,9.98
41,2,-5,0,16.23
41,3,0,-5,2.41
41,4,6.45,3.71,0
41,5,0,-5,19.33
41,6,0,-1.32,-5
42,0,0,6.38,21.65
42,1,0.6,0,9.98
42,2,-5,0,16.23
42,3,0,-5,-2.61
42,4,6.45,3.71,0
42,5,0,-5,19.33
42,6,0,-1.32,-5
43,0,0,6.38,21.65
43,1,0.6,0,9.98
43,2,-5,0,16.23
43,3,-5,-5,-2.61
43,4,6.45,3.71,0
43,5,0,-5,19.33
43,6,0,-1.32,-5
44,0,0,6.38,21.65
44,1,0.6,0,9.98
44,2,-5,0,16.23
44,3,-5,-5,11.73
44,4,6.45,3.71,0
44,5,0,-5,19.33
44,6,0,-1.32,-5
45,0,0,6.38,21.65
45,1,0.6,0,9.98
45,2,-5,0,21.14
45,3,-5,-5,11.73
45,4,6.45,3.71,0
45,5,0,-5,19.33
45,6,0,-1.32,-5
46,0,0,6.38,21.65
46,1,0.6,0,9.98
46,2,-5,0,5.57
46,3,-5,-5,11.73
46,4,6.45,3.71,0
46,5,0,-5,19.33
46,6,0,-1.32,-5
47,0,0,6.38,21.65
47,1,0.6,0,9.98
47,2,-5,0,5.57
47,3,-5,-5,11.73
47,4,6.45,3.71,0
47,5,0,-5,19.33
47,6,7.76,-1.32,-5
48,0,0,6.38,21.65
48,1,0.6,0,9.98
48,2,-5,0,17.73
48,3,-5,-5,11.73
48,4,6.45,3.71,0
48,5,0,-5,19.33
48,6,7.76,-1.32,-5
49,0,0,6.38,21.65
49,1,0.6,0,15.71
49,2,-5,0,17.73
49,3,-5,-5,11.73
49,4,6.45,3.71,0
49,5,0,-5,19.33
49,6,7.76,-1.32,-5
50,0,0,6.38,21.54
50,1,0.6,0,15.71
50,2,-5,0,17.73
50,3,-5,-5,11.73
50,4,6.45,3.71,0
50,5,0,-5,19.33
50,6,7.76,-1.32,-5
51,0,0,6.38,21.43
51,1,0.6,0,15.71
51,2,-5,0,17.73
51,3,-5,-5,11.73
51,4,6.45,3.71,0
51,5,0,-5,19.33
51,6,7.76,-1.32,-5
52,0,0,6.38,25.29
52,1,0.6,0,15.71
52,2,-5,0,17.73
52,3,-5,-5,11.73
52,4,6.45,3.71,0
52,5,0,-5,19.33
52,6,7.76,-1.32,-5
53,0,0,6.38,25.29
53,1,0.6,0,15.71
53,2,-5,0,17.73
53,3,-5,-5,11.73
53,4,6.45,3.71,0
53,5,0,-5,22.86
53,6,7.76,-1.32,-5
54,0,0,6.38,25.29
54,1,0.6,0,15.71
54,2,-5,0,17.73
54,3,-5,-5,11.73
54,4,15.74,3.71,0
54,5,0,-5,22.86
54,6,7.76,-1.32,-5
55,0,0,6.38,25.16
55,1,0.6,0,15.71
55,2,-5,0,17.73
55,3,-5,-5,11.73
55,4,15.74,3.71,0
55,5,0,-5,22.86
55,6,7.76,-1.32,-5
56,0,0,6.38,30.36
56,1,0.6,0,15.71
56,2,-5,0,17.73
56,3,-5,-5,11.73
56,4,15.74,3.71,0
56,5,0,-5,22.86
56,6,7.76,-1.32,-5
57,0,0,6.38,30.36
57,1,0.6,0,22.88
57,2,-5,0,17.73
57,3,-5,-5,11.73
57,4,15.74,3.71,0
57,5,0,-5,22.86
57,6,7.76,-1.32,-5
58,0,0,6.38,30.2
58,1,0.6,0,22.88
58,2,-5,0,17.73
58,3,-5,-5,11.73
58,4,15.74,3.71,0
58,5,0,-5,22.86
58,6,7.76,-1.32,-5
59,0,0,6.38,31.42
59,1,0.6,0,22.88
59,2,-5,0,17.73
59,3,-5,-5,11.73
59,4,15.74,3.71,0
59,5,0,-5,22.86
59,6,7.76,-1.32,-5
60,0,0,6.38,31.42
60,1,0.6,0,22.88
60,2,-5,0,17.73
60,3,-5,-5,11.73
60,4,15.74,3.71,0
60,5,0,-5,27.74
60,6,7.76,-1.32,-5
61,0,0,6.38,31.42
61,1,0.6,0,22.88
61,2,-5,0,17.73
61,3,-5,-5,11.73
61,4,15.74,3.71,0
61,5,0,-5,32.6
61,6,7.76,-1.32,-5
62,0,0,6.38,31.42
62,1,0.6,0,22.88
62,2,-5,0,17.73
62,3,-5,-5,11.73
62,4,15.74,3.71,0
62,5,0,-5,31.85
62,6,7.76,-1.32,-5
63,0,0,6.38,37.03
63,1,0.6,0,22.88
63,2,-5,0,17.73
63,3,-5,-5,11.73
63,4,15.74,3.71,0
63,5,0,-5,31.85
63,6,7.76,-1.32,-5
64,0,0,6.38,37.03
64,1,0.6,0,29.77
64,2,-5,0,17.73
64,3,-5,-5,11.73
64,4,15.74,3.71,0
64,5,0,-5,31.85
64,6,7.76,-1.32,-5
65,0,0,6.38,39.28
65,1,0.6,0,29.77
65,2,-5,0,17.73
65,3,-5,-5,11.73
65,4,15.74,3.71,0
65,5,0,-5,31.85
65,6,7.76,-1.32,-5
66,0,0,6.38,39.28
66,1,0.6,0,29.77
66,2,-5,0,17.73
66,3,-5,-5,11.73
66,4,15.74,3.71,0
66,5,0,-5,33.72
66,6,7.76,-1.32,-5
67,0,0,6.38,39.28
67,1,0.6,0,29.77
67,2,-5,0,17.73
67,3,-5,-5,11.73
67,4,27.31,3.71,0
67,5,0,-5,33.72
67,6,7.76,-1.32,-5
68,0,0,6.38,39.09
68,1,0.6,0,29.77
68,2,-5,0,17.73
68,3,-5,-5,11.73
68,4,27.31,3.71,0
68,5,0,-5,33.72
68,6,7.76,-1.32,-5
69,0,0,6.38,38.89
69,1,0.6,0,29.77
69,2,-5,0,17.73
69,3,-5,-5,11.73
69,4,27.31,3.71,0
69,5,0,-5,33.72
69,6,7.76,-1.32,-5
70,0,0,6.38,38.7
70,1,0.6,0,29.77
70,2,-5,0,17.73
70,3,-5,-5,11.73
70,4,27.31,3.71,0
70,5,0,-5,33.72
70,6,7.76,-1.32,-5
71,0,0,6.38,20.15
71,1,0.6,0,29.77
71,2,-5,0,17.73
71,3,-5,-5,11.73
71,4,27.31,3.71,0
71,5,0,-5,33.72
71,6,7.76,-1.32,-5
72,0,0,6.38,20.15
72,1,0.6,0,29.77
72,2,-5,0,17.73
72,3,-5,-5,4.7
72,4,27.31,3.71,0
72,5,0,-5,33.72
72,6,7.76,-1.32,-5
73,0,0,6.38,20.15
73,1,0.6,0,29.77
73,2,-5,0,17.73
73,3,-5,-5,4.7
73,4,27.31,3.71,0
73,5,0,-5,33.72
73,6,17.65,-1.32,-5
74,0,0,6.38,20.15
74,1,0.6,0,29.77
74,2,-5,0,22.64
74,3,-5,-5,4.7
74,4,27.31,3.71,0
74,5,0,-5,33.72
74,6,17.65,-1.32,-5
75,0,0,6.38,20.15
75,1,0.6,0,29.77
75,2,-5,0,8.65
75,3,-5,-5,4.7
75,4,27.31,3.71,0
75,5,0,-5,33.72
75,6,17.65,-1.32,-5
76,0,0,6.38,20.15
76,1,0.6,0,29.77
76,2,-5,0,8.65
76,3,-5.17,-5,4.7
76,4,27.31,3.71,0
76,5,0,-5,33.72
76,6,17.65,-1.32,-5
77,0,0,6.38,20.15
77,1,0.6,0,29.77
77,2,-5,0,8.65
77,3,-5.17,-5,11.63
77,4,27.31,3.71,0
77,5,0,-5,33.72
77,6,17.65,-1.32,-5
78,0,0,6.38,20.15
78,1,0.6,0,29.77
78,2,-5,0,13.61
78,3,-5.17,-5,11.63
78,4,27.31,3.71,0
78,5,0,-5,33.72
78,6,17.65,-1.32,-5
79,0,0,6.38,20.15
79,1,0.6,0,29.77
79,2,-5,0,7.56
79,3,-5.17,-5,11.63
79,4,27.31,3.71,0
79,5,0,-5,33.72
79,6,17.65,-1.32,-5
80,0,0,6.38,20.15
80,1,0.6,0,29.77
80,2,-5,0,7.56
80,3,-5.17,-5,6.58
80,4,27.31,3.71,0
80,5,0,-5,33.72
80,6,17.65,-1.32,-5
81,0,0,6.38,20.15
81,1,0.6,0,29.77
81,2,-5,0,7.56
81,3,-5.17,-5,7.03
81,4,27.31,3.71,0
81,5,0,-5,33.72
81,6,17.65,-1.32,-5
82,0,0,6.38,20.15
82,1,0.6,0,29.77
82,2,-5,0,7.56
82,3,-5.17,-5,7.03
82,4,27.31,3.71,0
82,5,0,-5,33.72
82,6,7.31,-1.32,-5
83,0,0,6.38,20.15
83,1,0.6,0,29.77
83,2,-5,0,7.56
83,3,-4.11,-5,7.03
83,4,27.31,3.71,0
83,5,0,-5,33.72
83,6,7.31,-1.32,-5
84,0,0,6.38,20.15
84,1,0.6,0,29.77
84,2,-5,0,7.56
84,3,-4.11,-5,2.13
84,4,27.31,3.71,0
84,5,0,-5,33.72
84,6,7.31,-1.32,-5
85,0,0,6.38,20.15
85,1,0.6,0,29.77
85,2,-5,0,7.56
85,3,-4.11,-5,2.13
85,4,27.31,3.71,0
85,5,0,-5,33.72
85,6,-0.29,-1.32,-5
86,0,0,6.38,20.15
86,1,0.6,0,29.77
86,2,-5,0,7.56
86,3,-4.11,-5,-2.88
86,4,27.31,3.71,0
86,5,0,-5,33.72
86,6,-0.29,-1.32,-5
87,0,0,6.38,20.15
87,1,0.6,0,29.77
87,2,-5,0,7.56
87,3,-4.11,6.24,-2.88
87,4,27.31,3.71,0
87,5,0,-5,33.72
87,6,-0.29,-1.32,-5
88,0,0,6.38,20.15
88,1,0.6,0,29.77
88,2,-5,0,28.52
88,3,-4.11,6.24,-2.88
88,4,27.31,3.71,0
88,5,0,-5,33.72
88,6,-0.29,-1.32,-5
89,0,0,6.38,20.15
89,1,0.6,0,24.86
89,2,-5,0,28.52
89,3,-4.11,6.24,-2.88
89,4,27.31,3.71,0
89,5,0,-5,33.72
89,6,-0.29,-1.32,-5
90,0,0,6.38,20.05
90,1,0.6,0,24.86
90,2,-5,0,28.52
90,3,-4.11,6.24,-2.88
90,4,27.31,3.71,0
90,5,0,-5,33.72
90,6,-0.29,-1.32,-5
91,0,0,6.38,33.55
91,1,0.6,0,24.86
91,2,-5,0,28.52
91,3,-4.11,6.24,-2.88
91,4,27.31,3.71,0
91,5,0,-5,33.72
91,6,-0.29,-1.32,-5
92,0,0,6.38,33.55
92,1,0.6,0,24.86
92,2,-5,0,28.52
92,3,-4.11,6.24,-2.88
92,4,30.26,3.71,0
92,5,0,-5,33.72
92,6,-0.29,-1.32,-5
93,0,0,6.38,33.38
93,1,0.6,0,24.86
93,2,-5,0,28.52
93,3,-4.11,6.24,-2.88
93,4,30.26,3.71,0
93,5,0,-5,33.72
93,6,-0.29,-1.32,-5
94,0,0,6.38,33.21
94,1,0.6,0,24.86
94,2,-5,0,28.52
94,3,-4.11,6.24,-2.88
94,4,30.26,3.71,0
94,5,0,-5,33.72
94,6,-0.29,-1.32,-5
95,0,0,6.38,33.05
95,1,0.6,0,24.86
95,2,-5,0,28.52
95,3,-4.11,6.24,-2.88
95,4,30.26,3.71,0
95,5,0,-5,33.72
95,6,-0.29,-1.32,-5
96,0,0,6.38,14.61
96,1,0.6,0,24.86
96,2,-5,0,28.52
96,3,-4.11,6.24,-2.88
96,4,30.26,3.71,0
96,5,0,-5,33.72
96,6,-0.29,-1.32,-5
97,0,0,6.38,14.61
97,1,0.6,0,24.86
97,2,-5,0,28.52
97,3,-4.11,1.21,-2.88
97,4,30.26,3.71,0
97,5,0,-5,33.72
97,6,-0.29,-1.32,-5
98,0,0,6.38,14.61
98,1,0.6,0,24.86
98,2,-5,0,28.52
98,3,-4.11,1.21,-5.84
98,4,30.26,3.71,0
98,5,0,-5,33.72
98,6,-0.29,-1.32,-5
99,0,0,6.38,14.61
99,1,0.6,0,24.86
99,2,-5,0,28.52
99,3,-4.11,-4.54,-5.84
99,4,30.26,3.71,0
99,5,0,-5,33.72
99,6,-0.29,-1.32,-5
100,0,0,6.38,14.61
100,1,0.6,0,24.86
100,2,-5,0,28.52
100,3,-4.11,-4.54,-5.84
100,4,30.26,3.71,0
100,5,0,-5,33.72
100,6,-7.18,-1.32,-5
